Amount of Calcium (Ca),Amount of Magnesium (Mg),Sodium,Potassium,Total Amount (N+K) (mg/L),Ca Weight (%) (meq/L),Mg Weight (%) (meq/L),Na Weight (%) (meq/L),K Weight (%) (meq/L),Total Amount (Na+K %) (meq/L),Total Weight Amount (Ca + Mg+ Na+K %) (meq/L),Ca Relative Conc (meq%),Mg Relative Conc (meq%),Na+K Relative Conc (meq%),Amount of Chloride (Cl),Amount of Sulfate (SO4),Amount of Carbonate (CO3),HydrogenCarbonate,Cl Weight (%) (meq/L),SO4 Weight (%) (meq/L),CO3 Weight (%) (meq/L),HCO3 Weight (%) (meq/L),Total Amount (CO3+HCO3 %) (meq/L),Total Weight Amount (Cl + SO4+ CO3+HCO3 %) (meq/L),Cl Relative Conc (meq%),SO4 Relative Conc (meq%),CO3 + HCO3 Relative Conc (meq%),ROWID,District LGD Code,Country,State LGD Code,State,District,Year,Surface Water Station,y,x,Month
34.53,0.56,8.17,2.53,10.7,1.72,0.05,0.36,0.065,0.42,2.189,78.707,2.105,19.188,10.89,7.4,0,64.97,0.31,0.15,0,1.06,1.06,1.526,20.13,10.096,69.774,29650,406,India,23,Madhya Pradesh,Guna,2014,A.B.Road X-ing,24.367,77.083,14-Aug
29.36,13.12,10.07,2.01,12.1,1.47,1.08,0.44,0.051,0.489,3.034,48.288,35.582,16.13,12.2,24.96,0,166,0.34,0.52,0,2.72,2.72,3.584,9.601,14.499,75.9,30538,415,India,23,Madhya Pradesh,Mandla,2015,Bamni,22.484,80.378,15-Apr
29.12,11.42,2.1,1.1,3.2,1.45,0.94,0.09,0.028,0.119,2.512,57.84,37.404,4.756,12.5,3.76,0,184,0.35,0.08,0,3.02,3.02,3.446,10.231,2.272,87.498,30970,418,India,23,Madhya Pradesh,Narsinghpur,2011,Barmanghat,23.031,79.016,11-Apr
25.6,32.32,10.5,0.8,11.3,1.28,2.66,0.46,0.02,0.477,4.414,28.941,60.249,10.81,13.7,1.49,0,308,0.39,0.03,0,5.05,5.05,5.465,7.071,0.568,92.361,30971,418,India,23,Madhya Pradesh,Narsinghpur,2011,Belkhedi,22.928,79.34,11-Apr
68.14,16.52,100,7.6,107.6,3.4,1.36,4.35,0.194,4.544,9.304,36.548,14.611,48.841,140,24,12,220,3.95,0.5,0.4,3.61,4.01,8.454,46.712,5.911,47.378,28975,397,India,23,Madhya Pradesh,Burhanpur,2014,BURHANPUR,21.298,76.236,14-Apr
35.04,20.66,39.3,1.1,40.4,1.75,1.7,1.71,0.028,1.738,5.186,33.716,32.78,33.504,14.7,13.8,0,308,0.41,0.29,0,5.05,5.05,5.75,7.212,4.997,87.791,29860,409,India,23,Madhya Pradesh,Hoshangabad,2011,Chhidgaon,22.406,77.308,11-Apr
27.68,19.9746,8.395,0.01955,8.4,1.38,1.64,0.37,0.001,0.366,3.391,40.739,48.477,10.784,39.263,64.968,17.4,133.285,1.11,1.35,0.58,2.18,2.76,5.225,21.199,25.891,52.91,30860,417,India,23,Madhya Pradesh,Morena,2012,Dholpur,26.65,77.9,12-Apr
22.24,16.04,36.9,2,38.9,1.11,1.32,1.61,0.051,1.656,4.086,27.162,32.303,40.534,15.4,9.9,9.11,167,0.43,0.21,0.3,2.74,3.04,3.681,11.801,5.6,82.599,29425,403,India,23,Madhya Pradesh,Dhar,2011,Dhulsar,22.206,74.852,11-Aug
41.92,41.32,18,1.4,19.4,2.09,3.4,0.78,0.036,0.819,6.311,33.148,53.878,12.974,30.2,3.24,0,338,0.85,0.07,0,5.54,5.54,6.459,13.19,1.044,85.766,29527,404,India,23,Madhya Pradesh,Dindori,2011,Dindori,22.948,81.076,11-Apr
20.08,17.5,13.46,1.68,15.1,1,1.44,0.59,0.043,0.628,3.071,32.634,46.899,20.467,10.2,4.8,21.42,143,0.29,0.1,0.71,2.34,3.06,3.445,8.352,2.901,88.748,30978,418,India,23,Madhya Pradesh,Narsinghpur,2013,Gadarwara,22.924,78.792,13-Apr
27.2,12.64,5.9,1,6.9,1.36,1.04,0.26,0.026,0.282,2.68,50.654,38.815,10.531,10.9,2.42,0,195,0.31,0.05,0,3.2,3.2,3.554,8.652,1.418,89.93,29749,408,India,23,Madhya Pradesh,Harda,2011,Handia,22.49,76.994,11-Apr
27.44,9.23,4.3,1,5.3,1.37,0.76,0.19,0.026,0.213,2.341,58.482,32.438,9.08,10.5,2.86,16.67,169,0.3,0.06,0.56,2.77,3.33,3.681,8.046,1.618,90.336,31858,427,India,23,Madhya Pradesh,Sehore,2011,Hoshangabad,22.756,77.734,11-Apr
32.64,21.57,23.79,1.65,25.4,1.63,1.77,1.03,0.042,1.077,4.481,36.351,39.612,24.036,23.85,2.55,4.8,222.95,0.67,0.05,0.16,3.65,3.81,4.54,14.82,1.17,84.011,31976,428,India,23,Madhya Pradesh,Seoni,2018,Keolari,22.381,79.9,18-Apr
23.6,16.77,18.16,1.8,20,1.18,1.38,0.79,0.046,0.836,3.394,34.704,40.664,24.633,10.2,7.03,0,184,0.29,0.15,0,3.02,3.02,3.45,8.341,4.243,87.416,30199,414,India,23,Madhya Pradesh,Khargone,2013,kogaon,22.102,75.684,13-Apr
31.15,21.6,10,5,15,1.55,1.78,0.43,0.128,0.563,3.895,39.912,45.636,14.452,17,45,0,139.76,0.48,0.94,0,2.29,2.29,3.707,12.936,25.275,61.789,32302,433,India,23,Madhya Pradesh,Sidhi,2011,KULDAH BRIDGE,24.417,81.683,11-Apr
70.08,18.66,28.82,5.89,34.7,3.5,1.54,1.25,0.151,1.404,6.437,54.33,23.854,21.815,22.26,0.5,0,355.25,0.63,0.01,0,5.82,5.82,6.461,9.719,0.161,90.12,28653,392,India,23,Madhya Pradesh,Balaghat,2018,Kumhari,21.884,80.177,18-Apr
20.8,2.916,7.82,1.173,9,1.04,0.24,0.34,0.03,0.37,1.648,62.981,14.559,22.459,28.755,1.92,0,91.5,0.81,0.04,0,1.5,1.5,2.351,34.506,1.701,63.793,31315,420,India,23,Madhya Pradesh,Panna,2014,MADLA,24.733,80.2,14-Aug
34.112,3.8394,26.68,14.5139,41.2,1.7,0.32,1.16,0.371,1.532,3.55,47.952,8.9,43.148,30.5939,14.5104,0,131.571,0.86,0.3,0,2.16,2.16,3.321,25.983,9.096,64.921,32431,435,India,23,Madhya Pradesh,Ujjain,2011,Mahidpur,23.483,75.633,11-Aug
28.96,8.75,3.4,1.3,4.7,1.45,0.72,0.15,0.033,0.181,2.346,61.593,30.687,7.72,10.9,5.28,0,172,0.31,0.11,0,2.82,2.82,3.236,9.501,3.397,87.102,30194,414,India,23,Madhya Pradesh,Khargone,2011,Mandleshwar,22.172,75.661,11-Apr
26.88,15.31,4.9,0.4,5.3,1.34,1.26,0.21,0.01,0.223,2.825,47.49,44.602,7.908,11.8,1.23,0,215,0.33,0.03,0,3.52,3.52,3.882,8.574,0.66,90.766,30527,415,India,23,Madhya Pradesh,Mandla,2011,Manot,22.736,80.512,11-Apr
35.27,8.75,22,0.96,23,1.76,0.72,0.96,0.025,0.981,3.462,50.846,20.8,28.354,30,18.4,0,127,0.85,0.38,0,2.08,2.08,3.311,25.561,11.572,62.868,31414,423,India,23,Madhya Pradesh,Ratlam,2011,Mataji,23.349,74.725,11-Apr
24.32,16.04,4.6,1.6,6.2,1.21,1.32,0.2,0.041,0.241,2.775,43.742,47.572,8.686,10.7,1.16,0,212,0.3,0.02,0,3.47,3.47,3.8,7.942,0.636,91.423,30528,415,India,23,Madhya Pradesh,Mandla,2011,Mohgaon,22.766,80.623,11-Apr
41.6,15.738,5.98,3.99,10,2.08,1.3,0.26,0.102,0.362,3.733,55.608,34.69,9.701,19.88,34.08,6.6,176.9,0.56,0.71,0.22,2.9,3.12,4.39,12.775,16.165,71.059,31654,425,India,23,Madhya Pradesh,Sagar,2011,Natunhat,23.546,78.907,11-Dec
21,5,15,5.9,20.9,1.05,0.41,0.65,0.151,0.803,2.263,46.313,18.183,35.504,6.4,3.8,0,115,0.18,0.08,0,1.88,1.88,2.144,8.419,3.69,87.891,32201,432,India,23,Madhya Pradesh,Shivpuri,2012,PACHAWALI,25.167,77.717,12-Aug
30.96,24.79,35.7,8.2,43.9,1.54,2.04,1.55,0.21,1.763,5.347,28.892,38.147,32.961,36.9,3.42,0,325,1.04,0.07,0,5.33,5.33,6.439,16.167,1.106,82.727,30082,411,India,23,Madhya Pradesh,Jabalpur,2011,Patan,23.312,79.663,11-Apr
24,14.82,22.1,1.9,24,1.2,1.22,0.96,0.049,1.01,3.427,34.947,35.585,29.468,10.8,7.89,6.07,142,0.3,0.16,0.2,2.33,2.53,2.998,10.16,5.479,84.361,28870,393,India,23,Madhya Pradesh,Barwani,2011,Pati,21.944,74.745,11-Aug
4.42,13.9,26,12,38,0.22,1.14,1.13,0.307,1.438,2.802,7.871,40.818,51.311,12.5,15.3,0,110.2,0.35,0.32,0,1.81,1.81,2.477,14.234,12.86,72.907,28672,392,India,23,Madhya Pradesh,Balaghat,2018,Rajegaon,21.626,80.254,18-Aug
11.02,62.6,108,62.8,170.8,0.55,5.15,4.7,1.606,6.304,12.005,4.581,42.909,52.511,40.6,64.8,0,533,1.15,1.35,0,8.74,8.74,11.23,10.198,12.014,77.787,29210,399,India,23,Madhya Pradesh,Chhindwara,2018,Ramakona,21.72,78.824,18-Aug
26.56,14.58,1.8,0.9,2.7,1.33,1.2,0.08,0.023,0.101,2.626,50.464,45.679,3.857,9,2.19,0,161,0.25,0.05,0,2.64,2.64,2.938,8.641,1.552,89.807,29861,409,India,23,Madhya Pradesh,Hoshangabad,2011,Sandia,22.916,78.348,11-Apr
67.64,58.26,32.7,3.82,36.5,3.38,4.79,1.42,0.098,1.52,9.69,34.836,49.477,15.688,45.24,10.9,0,335.44,1.28,0.23,0,5.5,5.5,7.001,18.229,3.242,78.529,31773,426,India,23,Madhya Pradesh,Satna,2019,Satna (Panna-Khajuraho Bridge),24.562,80.907,19-Dec
37.32,9.56,58.03,3.8,61.8,1.86,0.79,2.52,0.097,2.621,5.27,35.337,14.926,49.737,52.24,71.5,0,133.52,1.47,1.49,0,2.19,2.19,5.151,28.611,28.904,42.486,31439,423,India,23,Madhya Pradesh,Ratlam,2014,Tal,23.717,75.35,14-Aug
52.68,26.78,89.8,13.7,103.5,2.63,2.2,3.91,0.35,4.256,9.089,28.924,24.245,46.831,110.85,13,0,342.21,3.13,0.27,0,5.61,5.61,9.006,34.72,3.005,62.274,32446,435,India,23,Madhya Pradesh,Ujjain,2018,Ujjain,23.167,75.767,18-Aug
19.4,6.8,10.8,0.7,11.5,0.97,0.56,0.47,0.018,0.488,2.015,48.037,27.765,24.198,18.68,17.6,0,75.6,0.53,0.37,0,1.24,1.24,2.132,24.711,17.185,58.104,36546,493,India,27,Maharashtra,Sangli,2015,Arjunwad (Seasonal),16.787,74.633,15-Aug
28.8,20.79,26.9,3.1,30,1.44,1.71,1.17,0.079,1.249,4.397,32.683,38.905,28.412,18.46,24,6.6,193,0.52,0.5,0.22,3.16,3.38,4.404,11.825,11.348,76.827,34303,473,India,27,Maharashtra,Chandrapur,2012,Ashti,19.687,79.787,12-Apr
14.43,3.89,12.1,0.5,12.6,0.72,0.32,0.53,0.013,0.539,1.579,45.596,20.268,34.136,18.74,9.4,0,40.9,0.53,0.2,0,0.67,0.67,1.395,37.904,14.033,48.063,37246,497,India,27,Maharashtra,Thane,2014,Badlapur,19.162,73.254,14-Feb
39.6,41.57,56.4,5.2,61.6,1.98,3.42,2.45,0.133,2.586,7.983,24.754,42.849,32.397,55.38,50.88,0,233.4,1.56,1.06,0,3.83,3.83,6.447,24.232,16.433,59.335,34304,473,India,27,Maharashtra,Chandrapur,2012,Bamni (Balharsha),19.815,79.379,12-Apr
32.1,10.7,191.8,20.4,212.2,1.6,0.88,8.34,0.522,8.865,11.347,14.117,7.76,78.123,293,10.6,0,160,8.27,0.22,0,2.62,2.62,11.108,74.406,1.987,23.607,35633,487,India,27,Maharashtra,Nashik,2012,CHANWADA,20.05,73.466,12-Apr
32,17.5,16.5,3.89,20.4,1.6,1.44,0.72,0.099,0.817,3.854,41.433,37.364,21.203,20.12,17.75,0,181.62,0.57,0.37,0,2.98,2.98,3.914,14.502,9.443,76.055,36135,489,India,27,Maharashtra,Parbhani,2016,Dhalegaon,19.2,76.367,16-Oct
30,6,53.8,2.6,56.4,1.5,0.49,2.34,0.066,2.407,4.397,34.044,11.228,54.728,78,10.2,0,110,2.2,0.21,0,1.8,1.8,4.215,52.195,5.038,42.766,37191,497,India,27,Maharashtra,Thane,2013,DURVESH,19.713,72.931,13-Apr
64.12,15.56,92,8,100,3.2,1.28,4,0.205,4.206,8.687,36.836,14.74,48.424,120,28,28,208,3.39,0.58,0.93,3.41,4.34,8.31,40.734,7.015,52.251,33970,467,India,27,Maharashtra,Akola,2014,GOPALKHEDA,20.874,76.991,14-Apr
30.6,28.99,44.2,3.2,47.4,1.53,2.39,1.92,0.082,2.004,5.917,25.808,40.317,33.876,22.01,25.44,6.6,231.1,0.62,0.53,0.22,3.79,4.01,5.158,12.037,10.269,77.694,37410,498,India,27,Maharashtra,Wardha,2012,Hivra,20.548,78.325,12-Apr
12.83,5.83,5.2,0.3,5.5,0.64,0.48,0.23,0.008,0.234,1.354,47.291,35.435,17.274,9.78,15.1,0,56.1,0.28,0.31,0,0.92,0.92,1.51,18.274,20.825,60.901,36770,494,India,27,Maharashtra,Satara,2016,Karad,17.3,74.067,16-Aug
30.43,17.49,32.06,2.64,34.7,1.52,1.44,1.39,0.068,1.462,4.42,34.358,32.563,33.079,38.93,34.2,8.4,103.86,1.1,0.71,0.28,1.7,1.98,3.792,28.957,18.777,52.266,33773,466,India,27,Maharashtra,Ahmednagar,2016,Kopergaon,19.9,74.5,16-Aug
12.83,4.86,5,0.5,5.5,0.64,0.4,0.22,0.013,0.23,1.27,50.396,31.479,18.126,7.43,12.1,0,61.1,0.21,0.25,0,1,1,1.463,14.327,17.222,68.451,34871,480,India,27,Maharashtra,Kolhapur,2018,KURUNDWAD,16.684,74.603,18-Aug
6.4128,0.972,2.2,0.1,2.3,0.32,0.08,0.1,0.003,0.098,0.498,64.228,16.053,19.719,3.19,2.1,0,19.52,0.09,0.04,0,0.32,0.32,0.454,19.837,9.639,70.524,36420,491,India,27,Maharashtra,Raigad,2013,Mangaon,18.234,73.285,13-Aug
31.4,17.1,19.74,3.51,23.3,1.57,1.41,0.86,0.09,0.948,3.922,39.948,35.873,24.179,20.12,17.3,0,175.33,0.57,0.36,0,2.87,2.87,3.801,14.931,9.476,75.593,35471,485,India,27,Maharashtra,Nanded,2016,Nanded,19.153,77.343,16-Oct
36,33.37,42.3,3.5,45.8,1.8,2.75,1.84,0.09,1.929,6.472,27.758,42.429,29.813,34.79,29.76,6.6,249,0.98,0.62,0.22,4.08,4.3,5.902,16.628,10.499,72.873,37411,498,India,27,Maharashtra,Wardha,2012,Nandgaon,20.533,78.826,12-Apr
20.28,30.2,39.07,3.18,42.3,1.01,2.49,1.7,0.081,1.781,5.278,19.175,47.085,33.74,33.8,26.33,12,210.45,0.95,0.55,0.4,3.45,3.85,5.351,17.819,10.246,71.935,37636,500,India,27,Maharashtra,Yavatmal,2017,P.G. Bridge,19.818,78.578,17-Apr
31.23,18.2,18,1.42,19.4,1.56,1.5,0.78,0.036,0.819,3.875,40.215,38.645,21.14,14.26,12.4,0,154.98,0.4,0.26,0,2.54,2.54,3.2,12.569,8.067,79.364,33774,466,India,27,Maharashtra,Ahmednagar,2016,Pachegaon,19.533,74.883,16-Aug
29.7,22.97,29.5,3.7,33.2,1.48,1.89,1.28,0.095,1.378,4.75,31.202,39.792,29.006,23.43,24.48,0,209,0.66,0.51,0,3.43,3.43,4.596,14.381,11.09,74.529,34079,471,India,27,Maharashtra,Bhandara,2012,Pauni,20.796,79.642,12-Apr
28.86,5.83,10.2,1,11.2,1.44,0.48,0.44,0.026,0.469,2.389,60.28,20.08,19.641,19.22,14.6,0,117.1,0.54,0.3,0,1.92,1.92,2.765,19.606,10.993,69.401,36213,490,India,27,Maharashtra,Pune,2015,Phulgaon,18.663,74.02,15-Aug
36,20.4,28,4.2,32.2,1.8,1.68,1.22,0.107,1.325,4.801,37.423,34.969,27.608,25.8,28.2,0,220,0.73,0.59,0,3.61,3.61,4.921,14.791,11.933,73.277,35757,489,India,27,Maharashtra,Parbhani,2014,Purrna,19.183,77.033,14-Apr
31.34,25.71,59.98,4.28,64.3,1.56,2.12,2.61,0.109,2.718,6.398,24.444,33.067,42.489,45.34,24.8,0,190.81,1.28,0.52,0,3.13,3.13,4.923,25.982,10.49,63.528,34314,473,India,27,Maharashtra,Chandrapur,2015,Sakmur/Sirpur,19.561,79.613,15-Apr
16.03,5.83,8.4,0.6,9,0.8,0.48,0.37,0.015,0.381,1.66,48.178,28.893,22.93,13.73,15.6,0,68.3,0.39,0.32,0,1.12,1.12,1.831,21.147,17.735,61.118,36547,493,India,27,Maharashtra,Sangli,2015,Samdoli (Seasonal),16.855,74.497,15-Aug
36.07,8.75,40,4.2,44.2,1.8,0.72,1.74,0.107,1.847,4.367,41.215,16.486,42.299,58,12,0,122,1.64,0.25,0,2,2,3.885,42.109,6.431,51.461,35524,486,India,27,Maharashtra,Nandurbar,2014,SARANGKHEDA,21.428,74.527,14-Apr
57.73,32.74,67.9,2.1,70,2.88,2.69,2.95,0.054,3.007,8.582,33.568,31.392,35.04,96.28,117.7,0,297.9,2.72,2.45,0,4.88,4.88,10.049,27.027,24.387,48.586,36372,490,India,27,Maharashtra,Pune,2019,Sarati,17.912,75.008,19-Nov
56.7,37.74,54.1,4.4,58.5,2.83,3.11,2.35,0.113,2.466,8.401,33.681,36.967,29.351,48.28,54.24,6.6,260,1.36,1.13,0.22,4.26,4.48,6.972,19.533,16.197,64.27,34967,484,India,27,Maharashtra,Nagpur,2012,Satrapur/K.R.Bridge,21.217,79.233,12-Apr
25.6512,5.83,20.3,0.6,20.9,1.28,0.48,0.88,0.015,0.898,2.658,48.156,18.048,33.796,28.18,23.3,0,82.96,0.79,0.49,0,1.36,1.36,2.64,30.114,18.378,51.508,36986,496,India,27,Maharashtra,Solapur,2013,Takli,17.431,75.85,13-Aug
6.12,29.1,48,20.6,68.6,0.31,2.39,2.09,0.527,2.615,5.315,5.746,45.055,49.198,18.7,20.1,0,217.8,0.53,0.42,0,3.57,3.57,4.516,11.682,9.268,79.05,34665,475,India,27,Maharashtra,Gadchiroli,2018,Tekra,18.978,79.947,18-Aug
17.21,8.79,9.51,1.25,10.8,0.86,0.72,0.41,0.032,0.446,2.028,42.353,35.67,21.976,9.9,9,0,79.3,0.28,0.19,0,1.3,1.3,1.766,15.811,10.609,73.58,34660,475,India,27,Maharashtra,Gadchiroli,2015,Wairagarh,20.433,80.1,15-Aug
11.2224,2.92,3,0.5,3.5,0.56,0.24,0.13,0.013,0.143,0.944,59.351,25.464,15.185,5.32,10.6,0,34.16,0.15,0.22,0,0.56,0.56,0.931,16.126,23.716,60.159,36765,494,India,27,Maharashtra,Satara,2013,Warunji,17.267,74.167,13-Aug
